year,month,dayofmonth,state,PM2.5,CO,O3,dayofweek,quarter,weekofyear,dayofyear,date,pm_lag_1Y,co_lag_1Y,o3_lag_1Y,pm_lag_2Y,co_lag_2Y,o3_lag_2Y,pm_lag_1M,co_lag_1M,o3_lag_1M,pm_lag_1W,co_lag_1W,o3_lag_1W
2013,3,1,Aotizhongxin,7.125,429.1666666666667,63.875,4,1,9,60,2013-03-01,,,,,,,,,,,,
2013,3,1,Wanshouxigong,8.041666666666666,320.8333333333333,57.291666666666664,4,1,9,60,2013-03-01,,,,,,,,,,,,
2013,3,1,Wanliu,8.0,395.8333333333333,46.708333333333336,4,1,9,60,2013-03-01,,,,,,,,,,,,
2013,3,1,Tiantan,8.625,450.0,68.08333333333333,4,1,9,60,2013-03-01,,,,,,,,,,,,
2013,3,1,Shunyi,8.083333333333334,345.8333333333333,60.791666666666664,4,1,9,60,2013-03-01,,,,,,,,,,,,
2013,3,1,Nongzhanguan,6.458333333333333,341.6666666666667,72.08333333333333,4,1,9,60,2013-03-01,,,,,,,,,,,,
2013,3,1,Gucheng,8.625,862.5,76.08333333333333,4,1,9,60,2013-03-01,,,,,,,,,,,,
2013,3,1,Guanyuan,7.541666666666667,400.0,63.166666666666664,4,1,9,60,2013-03-01,,,,,,,,,,,,
2013,3,1,Dongsi,6.416666666666667,391.6666666666667,72.25,4,1,9,60,2013-03-01,,,,,,,,,,,,
2013,3,1,Dingling,6.375,204.16666666666666,81.95833333333333,4,1,9,60,2013-03-01,,,,,,,,,,,,
2013,3,1,Changping,5.083333333333333,387.5,77.79166666666667,4,1,9,60,2013-03-01,,,,,,,,,,,,
2013,3,1,Huairou,7.541666666666667,329.1666666666667,78.75,4,1,9,60,2013-03-01,,,,,,,,,,,,
2013,3,2,Tiantan,31.708333333333332,912.5,34.041666666666664,5,1,9,61,2013-03-02,,,,,,,,,,,,
2013,3,2,Changping,33.333333333333336,962.5,28.833333333333332,5,1,9,61,2013-03-02,,,,,,,,,,,,
2013,3,2,Nongzhanguan,28.75,962.4166666666666,40.166666666666664,5,1,9,61,2013-03-02,,,,,,,,,,,,
2013,3,2,Gucheng,36.916666666666664,1479.0416666666667,39.583333333333336,5,1,9,61,2013-03-02,,,,,,,,,,,,
2013,3,2,Shunyi,32.625,920.8333333333334,40.416666666666664,5,1,9,61,2013-03-02,,,,,,,,,,,,
2013,3,2,Guanyuan,26.375,841.5833333333334,35.166666666666664,5,1,9,61,2013-03-02,,,,,,,,,,,,
2013,3,2,Dongsi,30.5,966.5833333333334,37.791666666666664,5,1,9,61,2013-03-02,,,,,,,,,,,,
2013,3,2,Wanliu,29.083333333333332,908.3333333333334,17.666666666666668,5,1,9,61,2013-03-02,,,,,,,,,,,,
2013,3,2,Dingling,34.041666666666664,875.0,24.708333333333332,5,1,9,61,2013-03-02,,,,,,,,,,,,
2013,3,2,Aotizhongxin,30.75,824.9166666666666,29.75,5,1,9,61,2013-03-02,,,,,,,,,,,,
2013,3,2,Wanshouxigong,30.916666666666668,879.1666666666666,27.833333333333332,5,1,9,61,2013-03-02,,,,,,,,,,,,
2013,3,2,Huairou,32.708333333333336,749.9583333333334,35.00501666666667,5,1,9,61,2013-03-02,,,,,,,,,,,,
2013,3,3,Guanyuan,81.5,1966.4583333333333,16.5,6,1,9,62,2013-03-03,,,,,,,,,,,,
2013,3,3,Dongsi,98.33333333333333,2132.875,20.333333333333332,6,1,9,62,2013-03-03,,,,,,,,,,,,
2013,3,3,Huairou,57.625,945.8333333333334,27.833333333333332,6,1,9,62,2013-03-03,,,,,,,,,,,,
2013,3,3,Aotizhongxin,76.91666666666667,1620.625,19.125,6,1,9,62,2013-03-03,,,,,,,,,,,,
2013,3,3,Wanshouxigong,96.0,2004.0,11.5,6,1,9,62,2013-03-03,,,,,,,,,,,,
2013,3,3,Wanliu,80.125,2074.5833333333335,12.083333333333334,6,1,9,62,2013-03-03,,,,,,,,,,,,
2013,3,3,Tiantan,98.04166666666667,2028.9583333333333,16.916666666666668,6,1,9,62,2013-03-03,,,,,,,,,,,,
2013,3,3,Shunyi,76.5,1749.9166666666667,24.541666666666668,6,1,9,62,2013-03-03,,,,,,,,,,,,
2013,3,3,Gucheng,80.33333333333333,2349.7083333333335,33.708333333333336,6,1,9,62,2013-03-03,,,,,,,,,,,,
2013,3,3,Dingling,43.833333333333336,825.0,41.0,6,1,9,62,2013-03-03,,,,,,,,,,,,
2013,3,3,Changping,57.541666666666664,1254.0,31.333333333333332,6,1,9,62,2013-03-03,,,,,,,,,,,,
2013,3,3,Nongzhanguan,104.75,2308.0,18.583333333333332,6,1,9,62,2013-03-03,,,,,,,,,,,,
2013,3,4,Nongzhanguan,22.875,674.9583333333334,62.458333333333336,0,1,10,63,2013-03-04,,,,,,,,,,,,
2013,3,4,Changping,20.791666666666668,583.3333333333334,66.45833333333333,0,1,10,63,2013-03-04,,,,,,,,,,,,
2013,3,4,Shunyi,19.833333333333332,791.5833333333334,55.125,0,1,10,63,2013-03-04,,,,,,,,,,,,
2013,3,4,Guanyuan,18.25,625.0,54.5,0,1,10,63,2013-03-04,,,,,,,,,,,,
2013,3,4,Gucheng,26.5,1170.6666666666667,67.25,0,1,10,63,2013-03-04,,,,,,,,,,,,
2013,3,4,Aotizhongxin,22.708333333333332,604.1666666666666,53.75,0,1,10,63,2013-03-04,,,,,,,,,,,,
2013,3,4,Huairou,20.75,524.9583333333334,55.916666666666664,0,1,10,63,2013-03-04,,,,,,,,,,,,
2013,3,4,Tiantan,22.333333333333332,895.7916666666666,53.125,0,1,10,63,2013-03-04,,,,,,,,,,,,
2013,3,4,Wanshouxigong,23.125,754.0416666666666,42.458333333333336,0,1,10,63,2013-03-04,,,,,,,,,,,,
2013,3,4,Dingling,17.541666666666668,400.0,76.91666666666667,0,1,10,63,2013-03-04,,,,,,,,,,,,
2013,3,4,Dongsi,24.291666666666668,870.8333333333334,62.291666666666664,0,1,10,63,2013-03-04,,,,,,,,,,,,
2013,3,4,Wanliu,22.875,829.0833333333334,31.75,0,1,10,63,2013-03-04,,,,,,,,,,,,
2013,3,5,Shunyi,114.95833333333333,1783.125,74.54166666666667,1,1,10,64,2013-03-05,,,,,,,,,,,,
2013,3,5,Nongzhanguan,131.83333333333334,2578.875,77.58333333333333,1,1,10,64,2013-03-05,,,,,,,,,,,,
2013,3,5,Changping,106.95833333333333,1641.3333333333333,88.75,1,1,10,64,2013-03-05,,,,,,,,,,,,
2013,3,5,Gucheng,136.70833333333334,1349.7083333333333,84.375,1,1,10,64,2013-03-05,,,,,,,,,,,,
2013,3,5,Guanyuan,141.16666666666666,2483.0833333333335,78.79166666666667,1,1,10,64,2013-03-05,,,,,,,,,,,,
2013,3,5,Aotizhongxin,148.875,2357.9583333333335,68.45833333333333,1,1,10,64,2013-03-05,,,,,,,,,,,,
2013,3,5,Dingling,105.375,1187.375,86.5,1,1,10,64,2013-03-05,,,,,,,,,,,,
2013,3,5,Huairou,50.083333333333336,1320.7083333333333,87.95833333333333,1,1,10,64,2013-03-05,,,,,,,,,,,,
2013,3,5,Wanshouxigong,148.66666666666666,2241.3333333333335,81.79166666666667,1,1,10,64,2013-03-05,,,,,,,,,,,,
2013,3,5,Dongsi,154.25,2403.9166666666665,83.04166666666667,1,1,10,64,2013-03-05,,,,,,,,,,,,
2013,3,5,Tiantan,141.66666666666666,2408.0,94.0,1,1,10,64,2013-03-05,,,,,,,,,,,,
2013,3,5,Wanliu,134.04166666666666,2495.5,48.541666666666664,1,1,10,64,2013-03-05,,,,,,,,,,,,
2013,3,6,Guanyuan,204.52173913043478,3330.0434782608695,27.956521739130434,2,1,10,65,2013-03-06,,,,,,,,,,,,
2013,3,6,Aotizhongxin,220.6086956521739,3047.478260869565,19.391304347826086,2,1,10,65,2013-03-06,,,,,,,,,,,,
2013,3,6,Dongsi,206.83333333333334,2991.3333333333335,28.0,2,1,10,65,2013-03-06,,,,,,,,,,,,
2013,3,6,Shunyi,168.70833333333334,2295.5833333333335,49.708333333333336,2,1,10,65,2013-03-06,,,,,,,,,,,,
2013,3,6,Wanliu,229.54166666666666,3328.7083333333335,16.291666666666668,2,1,10,65,2013-03-06,,,,,,,,,,,,
2013,3,6,Gucheng,186.7391304347826,2260.6521739130435,17.130434782608695,2,1,10,65,2013-03-06,,,,,,,,,,,,
2013,3,6,Nongzhanguan,195.33333333333334,2824.5416666666665,30.458333333333332,2,1,10,65,2013-03-06,,,,,,,,,,,,
2013,3,6,Wanshouxigong,207.875,3153.7916666666665,60.041666666666664,2,1,10,65,2013-03-06,,,,,,,,,,,,
2013,3,6,Huairou,163.30434782608697,1995.4347826086957,81.04347826086956,2,1,10,65,2013-03-06,,,,,,,,,,,,
2013,3,6,Tiantan,193.70833333333334,3057.9166666666665,75.33333333333333,2,1,10,65,2013-03-06,,,,,,,,,,,,
